,strategy,reasoning,prompt_id,status,selection_status,latency,contenders,worker,cost,actual_verdict,worker_worker_id,worker_archetype,worker_total_cores,worker_total_gpus,worker_total_nodes,worker_available_nodes,worker_available_cores,worker_cores_per_node,worker_gpus_per_node,worker_available_gpus,worker_queue_depth,worker_pricing_node,worker_pricing_cpu,worker_pricing_gpu
0,agentic-cost,All selection strategies failed. AgenticSelector: No cluster meets the requirements. All are too busy.,11,REJECTED,SelectionStatus.REJECTED,1.5156977949663997,4,,,,,,,,,,,,,,,,,
1,agentic-cost,Lowest queue depth and meets all requirements.,13,SUCCESS,SelectionStatus.SELECTED,3.5279654138721526,21,64,,BUSY,64,hpc,304658.0,3724.0,4117.0,532.0,39433.0,74.0,7.0,3724.0,3586.0,0.65,0.015,0.16
2,agentic-cost,Smallest queue depth and has the required software and hardware.,81,SUCCESS,SelectionStatus.SELECTED,1.3787380231078714,16,74,,BUSY,74,hpc,1102800.0,7376.0,9190.0,922.0,110640.0,120.0,8.0,7376.0,8269.0,0.65,0.015,0.16
3,agentic-cost,"Matches all software and hardware requirements. Queue depth is high, but not the highest of all candidates, and all requirements are met.",74,SUCCESS,SelectionStatus.SELECTED,1.593633126001805,26,94,1511656.25,BUSY,94,hpc,761900.0,9296.0,7619.0,-363.0,-36300.0,100.0,8.0,-2904.0,6458.0,0.65,0.015,0.16
4,agentic-cost,Both are BUSY and lack patsy. Cluster 42 has a lower queue depth.,86,SUCCESS,SelectionStatus.SELECTED,1.7122604858595878,2,42,0.65,BUSY,42,hpc,768200.0,1071.0,7682.0,152.0,15200.0,100.0,7.0,1064.0,7530.0,0.65,0.015,0.16
5,agentic-cost,Cluster 59 has the requested GPUs and low-latency MPI support and has the shortest queue for GPU jobs.,71,SUCCESS,SelectionStatus.SELECTED,1.4978942859452218,11,59,,BUSY,59,hpc,953465.0,5556.0,8291.0,926.0,106490.0,115.0,6.0,5556.0,7366.0,0.65,0.015,0.16
6,agentic-cost,"Cluster 7 is the best option as it has the correct Horovod version in a conda environment, even though it is BUSY.",79,SUCCESS,SelectionStatus.SELECTED,1.1549898518715054,3,7,0.65,BUSY,7,hpc,1112274.0,1092.0,9117.0,181.0,22082.0,122.0,6.0,1086.0,8936.0,0.65,0.015,0.16
7,agentic-cost,"All selection strategies failed. AgenticSelector: Both clusters are too busy to take the request, choosing the cluster with the shortest queue, though it will be difficult to make progress.",28,REJECTED,SelectionStatus.REJECTED,1.9654908860102296,3,,,,,,,,,,,,,,,,,
8,agentic-cost,All selection strategies failed. AgenticSelector: Cluster is too busy to be considered.,70,REJECTED,SelectionStatus.REJECTED,0.967581702163443,1,,,,,,,,,,,,,,,,,
9,agentic-cost,All selection strategies failed. AgenticSelector: No clusters available to evaluate.,48,REJECTED,SelectionStatus.REJECTED,1.1353110030759126,1,,,,,,,,,,,,,,,,,
10,agentic-cost,All selection strategies failed. AgenticSelector: Cluster is busy and Cython is not pre-installed.,58,REJECTED,SelectionStatus.REJECTED,1.233137776143849,1,,,,,,,,,,,,,,,,,
11,agentic-cost,"All clusters are busy. Cluster 61 specifies valgrind is available via spack and modules, and provides a scratch mount point.",3,SUCCESS,SelectionStatus.SELECTED,1.633675899123773,18,61,0.65,BUSY,61,hpc,1204056.0,2532.0,9556.0,421.0,53046.0,126.0,6.0,2526.0,9135.0,0.65,0.015,0.16
12,agentic-cost,"All clusters are busy, but cluster 74 has the smallest queue depth while meeting hardware and software requirements.",25,SUCCESS,SelectionStatus.SELECTED,1.363708701916039,6,74,,BUSY,74,hpc,1102800.0,7376.0,9190.0,922.0,110640.0,120.0,8.0,7376.0,8270.0,0.65,0.015,0.16
